2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,Item,S.No.,State
9400805.0,11186428.0,12895568.0,14819416.0,17326726.0,20386004.0,"Agriculture, forestry and fishing",1,Andhra_Pradesh
5204052.0,6123041.0,7114707.0,7893514.0,8644285.0,9717089.0,Crops,1.1,Andhra_Pradesh
2758776.0,3358438.0,3643026.0,4309078.0,5155487.0,5979648.0,Livestock,1.2,Andhra_Pradesh
250314.0,253029.0,280493.0,346160.0,340550.0,335487.0,Forestry and logging,1.3,Andhra_Pradesh
1187663.0,1451920.0,1857342.0,2270664.0,3186404.0,4353780.0,Fishing and aquaculture,1.4,Andhra_Pradesh
1416194.0,1459027.0,1419200.0,1484300.0,1633100.0,1757565.0,Mining and quarrying,2,Andhra_Pradesh
10816999.0,12645455.0,14314768.0,16303716.0,18959826.0,22143569.0,Primary,Total,Andhra_Pradesh
5070622.0,4237657.0,4242337.0,4672266.0,5078685.0,5740816.0,Manufacturing,3,Andhra_Pradesh
1076517.0,713029.0,1014130.0,1151729.0,1251910.0,1298947.0,"Electricity, gas, water supply & other utility services",4,Andhra_Pradesh
3702645.0,3759004.0,4065131.0,4664889.0,4986189.0,5467732.0,Construction,5,Andhra_Pradesh
9849784.0,8709690.0,9321598.0,10488884.0,11316784.0,12507496.0,Secondary,Total,Andhra_Pradesh
2673600.0,3179200.0,3784900.0,4233400.0,4577700.0,5174600.0,"Trade, repair, hotels and restaurants",6,Andhra_Pradesh
2322700.0,2775600.0,3290800.0,3716000.0,3964000.0,4382200.0,Trade & repair services,6.1,Andhra_Pradesh
350900.0,403600.0,494100.0,517400.0,613700.0,792400.0,Hotels & restaurants,6.2,Andhra_Pradesh
3251379.0,3778632.0,4365811.0,5076984.0,5806226.0,6766317.0,"Transport, storage, communication & services related to broadcasting",7,Andhra_Pradesh
264279.0,303702.0,334468.0,424228.0,436596.0,445372.0,Railways,7.1,Andhra_Pradesh
1824800.0,2200400.0,2516200.0,2816000.0,3217400.0,3798300.0,Road transport,7.2,Andhra_Pradesh
95100.0,90400.0,60600.0,94200.0,110500.0,123600.0,Water transport,7.3,Andhra_Pradesh
4500.0,10600.0,5100.0,14900.0,25000.0,28000.0,Air transport,7.4,Andhra_Pradesh
501800.0,535500.0,634700.0,780200.0,904200.0,1020800.0,Services incidental to transport,7.5,Andhra_Pradesh
20700.0,16600.0,18700.0,18700.0,19000.0,20600.0,Storage,7.6,Andhra_Pradesh
540200.0,621430.0,796043.0,928756.0,1093530.0,1329645.0,Communication & services related to broadcasting,7.7,Andhra_Pradesh
1425608.0,1584297.0,1710463.0,1900863.0,2125508.0,2415390.0,Financial services,8,Andhra_Pradesh
2833805.0,3434098.0,3897345.0,4405409.0,5092310.0,5942431.0,"Real estate, ownership of dwelling & professional services",9,Andhra_Pradesh
1393752.0,1552379.0,1738971.0,2200897.0,2594904.0,3039676.0,Public administration,10,Andhra_Pradesh
2730376.0,3063920.0,3538298.0,4215389.0,5248604.0,6180240.0,Other services,11,Andhra_Pradesh
14308520.0,16592526.0,19035788.0,22032942.0,25445252.0,29518654.0,Tertiary,Total,Andhra_Pradesh
34975303.0,37947671.0,42672154.0,48825542.0,55721862.0,64169719.0,TOTAL GSVA at basic prices,12,Andhra_Pradesh
4243900.0,4656500.0,5263500.0,5512100.0,6719300.0,7236500.0,Taxes on Products,13,Andhra_Pradesh
1279000.0,1463800.0,1508500.0,1690800.0,1447800.0,1475500.0,Subsidies on products,14,Andhra_Pradesh
37940203.0,41140371.0,46427154.0,52646842.0,60993362.0,69930719.0,Gross State Domestic Product,15,Andhra_Pradesh
492750.0,495660.0,498570.0,501510.0,504460.0,507430.0,Population ('00),16,Andhra_Pradesh
76997.0,83001.0,93121.0,104977.0,120908.0,137814.0,Per Capita GSDP (Rs.),17,Andhra_Pradesh
455505.0,545406.0,603944.0,686117.0,744726.0,,"Agriculture, forestry and fishing",1,Arunachal_Pradesh
255815.0,331962.0,360344.0,415520.0,431318.0,,Crops,1.1,Arunachal_Pradesh
29657.0,24249.0,34027.0,38387.0,44386.0,,Livestock,1.2,Arunachal_Pradesh
165510.0,183780.0,204038.0,224017.0,258676.0,,Forestry and logging,1.3,Arunachal_Pradesh
4523.0,5415.0,5535.0,8193.0,10346.0,,Fishing and aquaculture,1.4,Arunachal_Pradesh
23022.0,35024.0,43616.0,30842.0,38068.0,,Mining and quarrying,2,Arunachal_Pradesh
478527.0,580430.0,647560.0,716959.0,782794.0,,Primary,Total,Arunachal_Pradesh
12900.0,14827.0,19714.0,26120.0,37743.0,,Manufacturing,3,Arunachal_Pradesh
69131.0,78766.0,89594.0,113527.0,139187.0,,"Electricity, gas, water supply & other utility services",4,Arunachal_Pradesh
104529.0,107821.0,124594.0,147842.0,161705.0,,Construction,5,Arunachal_Pradesh
186560.0,201414.0,233902.0,287489.0,338635.0,,Secondary,Total,Arunachal_Pradesh
59892.0,50878.0,70494.0,60421.0,65846.0,,"Trade, repair, hotels and restaurants",6,Arunachal_Pradesh
56921.0,47880.0,67273.0,56796.0,62044.0,,Trade & repair services,6.1,Arunachal_Pradesh
2971.0,2998.0,3221.0,3625.0,3802.0,,Hotels & restaurants,6.2,Arunachal_Pradesh
23420.0,27306.0,33414.0,35203.0,42833.0,,"Transport, storage, communication & services related to broadcasting",7,Arunachal_Pradesh
30.0,34.0,47.0,59.0,65.0,,Railways,7.1,Arunachal_Pradesh
